Dataset,Method,Quality,Image,BPP,PSNR,MSSSIM,LPIPS,CR,OrigSize(KB),CompSize(KB)
Kodak,JPEG,90,kodim07.png,1.872802734375,39.34198667030378,0.9949907660484314,0.0894196629524231,12.815017598748533,1152.0,89.89453125
Kodak,JPEG,10,kodim08.png,0.5215047200520834,23.62822822182357,0.9335428476333618,0.3698134124279022,46.020676471735655,1152.0,25.0322265625
Kodak,JPEG,20,kodim08.png,0.8076578776041666,25.97079931059424,0.9649497866630554,0.2613368034362793,29.715552420776866,1152.0,38.767578125
Kodak,JPEG,30,kodim08.png,1.0428873697916667,27.463273648890958,0.9762054681777954,0.20581276714801788,23.013031603589543,1152.0,50.05859375
Kodak,JPEG,40,kodim08.png,1.23046875,28.498474109281403,0.9816088080406189,0.17653892934322357,19.504761904761907,1152.0,59.0625
Kodak,JPEG,50,kodim08.png,1.4071044921875,29.358097975474156,0.9851097464561462,0.1534770429134369,17.05630259390995,1152.0,67.541015625
Kodak,JPEG,60,kodim08.png,1.6018473307291667,30.19284180860645,0.9876059889793396,0.1330280303955078,14.982701247237534,1152.0,76.888671875
Kodak,JPEG,70,kodim08.png,1.8877970377604167,31.35316944951012,0.9902900457382202,0.10865360498428345,12.713231094202976,1152.0,90.6142578125
Kodak,JPEG,80,kodim08.png,2.3500773111979165,33.04404689487757,0.9931194186210632,0.07929118722677231,10.212429985023071,1152.0,112.8037109375
Kodak,JPEG,90,kodim08.png,3.37353515625,36.11824180174988,0.9961047172546387,0.03962777554988861,7.114198871037777,1152.0,161.9296875
Kodak,JPEG,10,kodim09.png,0.2669270833333333,28.492527232174183,0.9112057089805603,0.5783514976501465,89.91219512195121,1152.0,12.8125
Kodak,JPEG,20,kodim09.png,0.3792521158854167,31.27236788928982,0.9509607553482056,0.44279974699020386,63.28244192908106,1152.0,18.2041015625
Kodak,JPEG,30,kodim09.png,0.4720052083333333,32.669008364653905,0.9669209718704224,0.3765413165092468,50.846896551724136,1152.0,22.65625
Kodak,JPEG,40,kodim09.png,0.54925537109375,33.62428017324,0.9736434817314148,0.32997894287109375,43.69552172463607,1152.0,26.3642578125
Kodak,JPEG,50,kodim09.png,0.6253865559895834,34.40894136310314,0.9787758588790894,0.29325249791145325,38.376264680048145,1152.0,30.0185546875
Kodak,JPEG,60,kodim09.png,0.7115275065104166,35.072906859150144,0.9812288284301758,0.2683519423007965,33.730249049266575,1152.0,34.1533203125
Kodak,JPEG,70,kodim09.png,0.8589274088541666,35.99915424520396,0.9846515655517578,0.2322613000869751,27.94182576152352,1152.0,41.228515625
Kodak,JPEG,80,kodim09.png,1.1184285481770833,37.31247787400125,0.9884225130081177,0.1845523566007614,21.458679715496697,1152.0,53.6845703125
Kodak,JPEG,90,kodim09.png,1.7557169596354167,39.53875850963929,0.9923532009124756,0.1232694610953331,13.669629303452032,1152.0,84.2744140625
Kodak,JPEG,10,kodim10.png,0.2728678385416667,28.241203930436644,0.8959195613861084,0.5442569255828857,87.95466746197435,1152.0,13.09765625
